App / Time window,"Jun 09, 2022 - Jun 15, 2022","Jun 16, 2022 - Jun 22, 2022","Jun 23, 2022 - Jun 29, 2022","Jun 30, 2022 - Jul 06, 2022","Jul 07, 2022 - Jul 13, 2022","Jul 14, 2022 - Jul 20, 2022","Jul 21, 2022 - Jul 27, 2022","Jul 28, 2022 - Aug 03, 2022","Aug 04, 2022 - Aug 10, 2022","Aug 11, 2022 - Aug 17, 2022","Aug 18, 2022 - Aug 24, 2022","Aug 25, 2022 - Aug 31, 2022","Sep 01, 2022 - Sep 07, 2022","Sep 08, 2022 - Sep 14, 2022","Sep 15, 2022 - Sep 21, 2022","Sep 22, 2022 - Sep 28, 2022","Sep 29, 2022 - Oct 05, 2022","Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022","Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023","Jan 26, 2023 - Feb 01, 2023","Feb 02, 2023 - Feb 08, 2023","Feb 09, 2023 - Feb 15, 2023","Feb 16, 2023 - Feb 22, 2023","Feb 23, 2023 - Mar 01, 2023","Mar 02, 2023 - Mar 08, 2023","Mar 09, 2023 - Mar 15, 2023","Mar 16, 2023 - Mar 22, 2023","Mar 23, 2023 - Mar 29, 2023","Mar 30, 2023 - Apr 05, 2023","Apr 06, 2023 - Apr 12, 2023","Apr 13, 2023 - Apr 19, 2023","Apr 20, 2023 - Apr 26, 2023","Apr 27, 2023 - May 03, 2023","May 04, 2023 - May 10, 2023","May 11, 2023 - May 17, 2023","May 18, 2023 - May 24, 2023","May 25, 2023 - May 31, 2023","Jun 01, 2023 - Jun 07, 2023"
com.twitter.android,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joinmastodon.android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.mewe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.hiveinc.TheHive.android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xyz.blueskyweb.app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0
com.gettr.gettr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
counter.social.android,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.minds.mobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
com.truthsocial.android.app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.vkontakte.android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
