App / Time window;Jun 09, 2022 - Jun 15, 2022;Jun 16, 2022 - Jun 22, 2022;Jun 23, 2022 - Jun 29, 2022;Jun 30, 2022 - Jul 06, 2022;Jul 07, 2022 - Jul 13, 2022;Jul 14, 2022 - Jul 20, 2022;Jul 21, 2022 - Jul 27, 2022;Jul 28, 2022 - Aug 03, 2022;Aug 04, 2022 - Aug 10, 2022;Aug 11, 2022 - Aug 17, 2022;Aug 18, 2022 - Aug 24, 2022;Aug 25, 2022 - Aug 31, 2022;Sep 01, 2022 - Sep 07, 2022;Sep 08, 2022 - Sep 14, 2022;Sep 15, 2022 - Sep 21, 2022;Sep 22, 2022 - Sep 28, 2022;Sep 29, 2022 - Oct 05, 2022;Oct 06, 2022 - Oct 12, 2022;Oct 13, 2022 - Oct 19, 2022;Oct 20, 2022 - Oct 26, 2022;Oct 27, 2022 - Nov 02, 2022;Nov 03, 2022 - Nov 09, 2022;Nov 10, 2022 - Nov 16, 2022;Nov 17, 2022 - Nov 23, 2022;Nov 24, 2022 - Nov 30, 2022;Dec 01, 2022 - Dec 07, 2022;Dec 08, 2022 - Dec 14, 2022;Dec 15, 2022 - Dec 21, 2022;Dec 22, 2022 - Dec 28, 2022;Dec 29, 2022 - Jan 04, 2023;Jan 05, 2023 - Jan 11, 2023;Jan 12, 2023 - Jan 18, 2023;Jan 19, 2023 - Jan 25, 2023;Jan 26, 2023 - Feb 01, 2023;Feb 02, 2023 - Feb 08, 2023;Feb 09, 2023 - Feb 15, 2023;Feb 16, 2023 - Feb 22, 2023;Feb 23, 2023 - Mar 01, 2023;Mar 02, 2023 - Mar 08, 2023;Mar 09, 2023 - Mar 15, 2023;Mar 16, 2023 - Mar 22, 2023;Mar 23, 2023 - Mar 29, 2023;Mar 30, 2023 - Apr 05, 2023;Apr 06, 2023 - Apr 12, 2023;Apr 13, 2023 - Apr 19, 2023;Apr 20, 2023 - Apr 26, 2023;Apr 27, 2023 - May 03, 2023;May 04, 2023 - May 10, 2023;May 11, 2023 - May 17, 2023;May 18, 2023 - May 24, 2023;May 25, 2023 - May 31, 2023;Jun 01, 2023 - Jun 07, 2023
com.twitter.android;2.33;2.45;2.58;2.81;2.36;2.47;2.72;2.91;2.23;2.58;2.68;2.24;2.04;2.80;2.29;2.47;2.23;2.23;2.45;2.06;2.41;2.46;2.18;2.30;2.41;2.35;2.40;2.12;2.04;2.20;2.30;2.39;2.20;2.21;1.79;2.30;2.46;2.24;2.21;2.30;2.19;2.39;1.82;2.53;2.26;2.38;1.85;1.94;2.37;2.39;2.25;2.54
org.joinmastodon.android;1.67;3.00;2.50;1.50;0.00;2.53;1.25;0.50;0.00;1.53;0.00;2.83;4.00;1.00;1.22;3.00;0.50;1.43;1.68;2.50;1.50;1.32;1.66;1.83;1.41;1.41;1.65;1.81;1.82;1.79;1.65;1.66;1.65;1.38;1.51;1.57;1.50;1.88;1.96;1.01;1.20;1.81;2.46;1.83;1.77;1.85;2.06;1.11;2.25;2.13;1.64;1.05
com.mewe;2.45;2.21;2.64;2.41;2.29;2.53;2.82;1.89;1.93;2.31;2.53;2.31;2.41;2.69;2.51;2.53;2.66;2.50;2.67;2.33;2.87;2.56;2.65;2.84;2.32;2.44;2.74;2.60;2.55;2.31;2.47;2.41;2.39;1.80;2.21;2.40;2.49;2.52;2.24;2.72;2.48;2.08;2.63;2.03;1.83;2.30;2.32;2.46;2.42;2.64;2.91;2.59
org.hiveinc.TheHive.android;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.47;1.81;1.48;1.17;1.24;1.44;1.56;1.17;1.65;1.27;1.42;1.24;1.39;1.81;1.45;2.50;2.17;1.44;1.01;2.33;2.83;2.67;1.05;2.05;1.00;0.00;2.50;1.78;1.31
xyz.blueskyweb.app;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;2.42;2.02;1.54;1.27;1.49;1.62;1.67
com.gettr.gettr;2.39;2.42;2.07;2.74;2.51;2.32;2.27;2.45;2.56;2.58;2.72;2.34;2.91;2.66;2.59;2.42;2.11;2.17;1.95;2.62;2.54;2.33;2.27;2.31;2.28;1.93;2.83;2.35;1.49;1.64;2.48;1.94;1.02;2.37;1.86;2.19;2.14;2.27;1.95;2.25;2.67;0.69;1.00;2.73;2.65;1.17;1.82;2.40;2.19;1.65;2.58;2.33
counter.social.android;2.29;0.00;2.33;1.66;0.00;0.00;3.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;2.48;2.25;0.00;0.00;2.00;3.00;2.80;2.08;2.43;2.43;1.98;2.59;0.00;1.83;2.20;0.00;2.76;3.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;3.00;0.00;0.00;0.83;2.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
com.minds.mobile;2.46;1.24;1.67;0.50;2.57;1.25;1.00;1.44;1.67;1.78;2.50;0.00;0.00;0.50;0.50;0.00;1.77;0.00;3.25;0.00;0.00;1.08;1.40;0.00;3.00;0.00;0.00;1.00;2.71;2.84;2.61;2.26;2.74;2.39;2.93;2.50;2.98;2.89;2.36;1.75;1.56;2.59;2.69;2.30;2.50;3.00;2.73;2.44;2.25;3.10;2.93;2.62
com.truthsocial.android.app;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;2.51;2.69;2.13;2.02;2.58;2.04;1.69;1.54;1.85;1.89;1.77;1.78;1.80;2.10;1.81;1.76;1.78;2.27;2.22;2.01;1.87;1.43;1.80;1.95;1.26;1.80;2.16;1.90;2.06;1.80;2.03;1.84;2.41;1.78
com.vkontakte.android;1.83;1.91;1.95;1.94;2.18;1.87;1.87;2.24;1.81;1.68;1.72;1.97;1.84;1.96;2.03;1.89;1.67;1.80;1.66;2.26;2.02;1.70;1.73;1.88;1.96;2.24;1.87;1.79;1.88;1.83;1.85;1.75;1.90;1.89;1.67;1.70;1.99;1.70;1.72;1.74;1.69;1.53;1.85;1.52;1.47;1.53;0.00;0.00;1.94;0.00;1.60;4.00
